,phrase,label,sentiment,subjectivity,language,count
USA,USA,LOC,-0.07109843937575029,0.06752701080432173,de,833
Berlin,Berlin,LOC,-0.012473460721868355,0.052813163481953286,de,628
Jamaika,Jamaika,LOC,-0.11228997289972893,0.036802168021680216,de,615
Kalifornien,Kalifornien,LOC,-0.10042559033498077,0.05189456342668863,de,607
Philippinen,Philippinen,LOC,-0.05493710691823901,0.07735849056603773,de,530
Deutschland,Deutschland,LOC,-0.04656765676567654,0.05504950495049505,de,505
…,…,LOC,0.03443652410047518,0.03004073319755601,de,491
Glatteis,Glatteis,LOC,-0.13417085427135686,0.07747068676716919,de,398
Indonesien,Indonesien,LOC,-0.08960036330608535,0.13133514986376021,de,367
Brandenburg,Brandenburg,LOC,0.010382513661202195,0.03369763205828779,de,366
Bayern,Bayern,LOC,-0.002537313432835822,0.04626865671641791,de,335
Japan,Japan,LOC,0.023744979919678694,0.03413654618473896,de,332
nan,nan,LOC,0.0,0.0,de,324
Erdbeben der Stärke,Erdbeben der Stärke,LOC,0.33942453854506066,0.014115092290988058,de,307
Stadt,Stadt,LOC,-0.015169491525423712,0.06717514124293784,de,295
Erde,Erde,LOC,0.02157575757575756,0.05606060606060606,de,275
Hessen,Hessen,LOC,0.027007299270073015,0.0364963503649635,de,274
Landes,Landes,LOC,0.005925221799746516,0.07826362484157161,de,263
Los Angeles,Los Angeles,LOC,-0.12298611111111116,0.04791666666666667,de,240
Alpen,Alpen,LOC,0.009957627118644067,0.0635593220338983,de,236
New York,New York,LOC,-0.0369517543859649,0.06140350877192982,de,228
Delhi,Delhi,LOC,-0.2635606060606063,0.03257575757575758,de,220
Waldbränden,Waldbränden,LOC,-0.003995433789954335,0.049847792998477934,de,219
Indien,Indien,LOC,-0.013239875389408094,0.056074766355140186,de,214
Schnee,Schnee,LOC,-0.03857868020304568,0.06598984771573604,de,197
den USA,den USA,LOC,-0.060094501718213074,0.13814432989690723,de,194
Iran,Iran,LOC,-0.1176418439716312,0.058421985815602845,de,188
Florida,Florida,LOC,-0.07890070921985815,0.026595744680851064,de,188
Hawaii,Hawaii,LOC,-0.09626593806921674,0.05737704918032788,de,183
Europa,Europa,LOC,-0.02449355432780846,0.04493554327808471,de,181
Karibik,Karibik,LOC,-0.11406018518518521,0.03263888888888889,de,180
Kuba,Kuba,LOC,-0.025706214689265525,0.035781544256120526,de,177
Texas,Texas,LOC,-0.1421875,0.0509469696969697,de,176
Vietnam,Vietnam,LOC,-0.11237816764132555,0.06432748538011696,de,171
Sri Lanka,Sri Lanka,LOC,-0.11868686868686866,0.16767676767676767,de,165
Washington,Washington,LOC,-0.05902439024390245,0.038109756097560975,de,164
Hamburg,Hamburg,LOC,-0.015792181069958843,0.03271604938271605,de,162
Deutschlands,Deutschlands,LOC,-0.010677083333333332,0.09895833333333333,de,160
Ukraine,Ukraine,LOC,-0.0977987421383648,0.03459119496855346,de,159
Australien,Australien,LOC,0.05580168776371308,0.06540084388185653,de,158
Österreich,Österreich,LOC,0.014354838709677417,0.025806451612903226,de,155
Vereinigten Staaten,Vereinigten Staaten,LOC,0.025219298245614044,0.09539473684210527,de,152
Bewohner,Bewohner,LOC,-0.10583881578947367,0.0756578947368421,de,152
Großbritannien,Großbritannien,LOC,0.0022075055187637934,0.06622516556291391,de,151
Südkalifornien,Südkalifornien,LOC,-0.03119369369369369,0.041666666666666664,de,148
Portugal,Portugal,LOC,-0.03379310344827586,0.034482758620689655,de,145
Japans,Japans,LOC,0.12034482758620679,0.016091954022988502,de,145
Spanien,Spanien,LOC,-0.05640096618357489,0.03985507246376811,de,138
New York City,New York City,LOC,-0.011956521739130425,0.1471014492753623,de,138
Kanada,Kanada,LOC,-0.03542270531400965,0.04734299516908212,de,138
China,China,LOC,0.0060150375939849576,0.07142857142857142,de,133
NRW,NRW,LOC,0.002904040404040387,0.04924242424242424,de,132
Amerikaner,Amerikaner,LOC,-0.06453282828282829,0.1662878787878788,de,132
Erdbeben,Erdbeben,LOC,0.07804878048780488,0.042682926829268296,de,123
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.05460704607046072,0.008130081300813009,de,123
Niedersachsen,Niedersachsen,LOC,0.0863387978142076,0.07650273224043715,de,122
Brasilien,Brasilien,LOC,-0.0328512396694215,0.05165289256198347,de,121
Italien,Italien,LOC,-0.008823529411764699,0.02100840336134454,de,119
Alaska,Alaska,LOC,0.07463276836158189,0.03446327683615819,de,118
Neuseeland,Neuseeland,LOC,0.004273504273504276,0.029914529914529916,de,117
