,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,0.01568627450980404,0.9722222222222224,de,1459
Hurrikan Melissa,Hurrikan Melissa,MISC,-3.0528333333333326,1.375,de,214
Weihnachten,Weihnachten,MISC,1.24375,3.25,de,192
Wetter“,Wetter“,MISC,,,de,175
Zeit,Zeit,MISC,,,de,122
Hurrikan,Hurrikan,MISC,-0.4968750000000002,0.25,de,112
deutsche,deutsche,MISC,,,de,82
Tornado,Tornado,MISC,-1.95,17.5,de,78
Amazon,Amazon,MISC,,,de,64
indonesischen,indonesischen,MISC,,,de,64
Deutsche,Deutsche,MISC,-5.933333333333333,1.0,de,64
Deutscher,Deutscher,MISC,,,de,56
…,…,MISC,0.009069767441860464,0.007751937984496124,de,52
kalifornischen,kalifornischen,MISC,,,de,49
indonesische,indonesische,MISC,,,de,47
Tsunami-Warnung,Tsunami-Warnung,MISC,1.044444444444444,0.05555555555555555,de,47
Berliner,Berliner,MISC,,,de,43
Internet,Internet,MISC,,,de,38
indischen,indischen,MISC,,,de,37
deutschen,deutschen,MISC,,,de,37
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,34
russischen Angriffskrieg,russischen Angriffskrieg,MISC,,,de,33
malaysische,malaysische,MISC,,,de,33
britische,britische,MISC,,,de,32
Schweizer,Schweizer,MISC,,,de,30
sozialen,sozialen,MISC,,,de,30
Weihnachtstag,Weihnachtstag,MISC,,,de,29
japanischen,japanischen,MISC,,,de,28
Taifun Kalmaegi,Taifun Kalmaegi,MISC,,,de,28
KATHMANDU,KATHMANDU,MISC,,,de,27
IndiGo,IndiGo,MISC,-1.0592592592592593,0.0,de,27
italienischen,italienischen,MISC,,,de,25
Camp Mystic,Camp Mystic,MISC,,,de,25
Wettervorhersage“,Wettervorhersage“,MISC,,,de,24
COP30,COP30,MISC,0.06666666666666662,0.0,de,24
Zahl der Toten,Zahl der Toten,MISC,,,de,23
Typhoon Family“,Typhoon Family“,MISC,,,de,23
Wetterbericht“,Wetterbericht“,MISC,,,de,22
indische,indische,MISC,,,de,22
japanische,japanische,MISC,,,de,22
DWD-Prognose,DWD-Prognose,MISC,,,de,22
Erster Schnee,Erster Schnee,MISC,,,de,21
kanadischen,kanadischen,MISC,,,de,19
Jahr 2025,Jahr 2025,MISC,,,de,19
Google,Google,MISC,,,de,18
