,phrase,label,sentiment,subjectivity,language,count
Hurrikan Melissa,Hurrikan Melissa,PER,-0.14343750000000002,0.008125,de,160
Donald Trump,Donald Trump,PER,0.16421568627450978,0.07352941176470588,de,17
Ace Frehley,Ace Frehley,PER,0.0,0.0,de,10
Matthew McConaughey,Matthew McConaughey,PER,0.22999999999999998,0.0,de,10
Jonathan Rinderknecht,Jonathan Rinderknecht,PER,-0.4444444444444444,0.0,de,9
Alarmstufe Rot,Alarmstufe Rot,PER,0.525,0.0,de,8
"Sturmtief ""Joshua","Sturmtief ""Joshua",PER,-0.21904761904761907,0.19047619047619047,de,7
Hurrikan Melissa Grafiken,Hurrikan Melissa Grafiken,PER,0.0,0.0,de,7
Gavin Newsom,Gavin Newsom,PER,-0.3642857142857143,0.0,de,7
Paul Greengrass,Paul Greengrass,PER,0.2833333333333334,0.0,de,6
Sturmtief „Joshua,Sturmtief „Joshua,PER,-0.11666666666666665,0.0,de,6
Zyklon Montha,Zyklon Montha,PER,0.0,0.0,de,6
Javier Milei,Javier Milei,PER,0.3444444444444444,0.16666666666666666,de,6
Friedrich Merz,Friedrich Merz,PER,-0.27999999999999997,0.0,de,5
Bill Gates,Bill Gates,PER,0.4,0.0,de,5
Vorsicht Glatteis,Vorsicht Glatteis,PER,0.0,0.0,de,4
Andrew Holness,Andrew Holness,PER,-0.25,0.0,de,4
Energieriesen Shell,Energieriesen Shell,PER,0.0,0.0,de,4
Tropensturm Melissa,Tropensturm Melissa,PER,0.175,0.0,de,4
America Ferrera,America Ferrera,PER,0.5,0.0,de,4
"Sturmtief ""Elli","Sturmtief ""Elli",PER,-0.175,0.0,de,4
Jerome Powell,Jerome Powell,PER,-0.0875,0.25,de,4
Südkalifornien Edison,Südkalifornien Edison,PER,-0.5,0.0,de,4
"Sturm ""Bualoi","Sturm ""Bualoi",PER,0.0,0.0,de,4
Marco Odermatt,Marco Odermatt,PER,0.5,0.0,de,4
Christian Pulisic,Christian Pulisic,PER,-0.5625,0.0,de,4
Raila Odinga,Raila Odinga,PER,-0.3333333333333333,0.0,de,3
Thomas Wrede,Thomas Wrede,PER,0.0,0.0,de,3
Gibran Rakabuming Raka,Gibran Rakabuming Raka,PER,-0.6666666666666666,0.0,de,3
Björn Alexander,Björn Alexander,PER,-0.2333333333333333,0.0,de,3
Charlie Kirk,Charlie Kirk,PER,0.0,0.0,de,3
Al Jazeera,Al Jazeera,PER,0.2333333333333333,0.3333333333333333,de,3
Sturmtief Joshua,Sturmtief Joshua,PER,0.3333333333333333,0.0,de,3
Hurrikan Helene,Hurrikan Helene,PER,0.0,0.3333333333333333,de,3
Rick Scott,Rick Scott,PER,0.3333333333333333,0.0,de,3
Prinz Andrew,Prinz Andrew,PER,0.0,0.0,de,3
Franziska Amler,Franziska Amler,PER,0.0,0.0,de,3
Tomiichi Murayama,Tomiichi Murayama,PER,-0.6666666666666666,0.0,de,3
Laura Wontorra,Laura Wontorra,PER,0.0,0.0,de,3
Meghan Markles,Meghan Markles,PER,0.2833333333333333,0.0,de,3
Milei Stimmen,Milei Stimmen,PER,1.0,0.0,de,3
Trumps 20-Milliarden-Dollar-Gewinn,Trumps 20-Milliarden-Dollar-Gewinn,PER,1.0,0.0,de,3
Sean Duffy,Sean Duffy,PER,0.3333333333333333,0.0,de,3
Jason Allen,Jason Allen,PER,0.0,0.3333333333333333,de,3
Sturm Amy,Sturm Amy,PER,0.2333333333333333,0.0,de,3
Wolfgang Schroeder,Wolfgang Schroeder,PER,0.05000000000000001,0.0,de,3
Wetter Bayern,Wetter Bayern,PER,0.0,0.0,de,3
Zohran Mamdani,Zohran Mamdani,PER,0.2333333333333333,0.3333333333333333,de,3
Tamil Nadu,Tamil Nadu,PER,0.5,0.5,de,2
Spencer Kaufman,Spencer Kaufman,PER,0.5,0.0,de,2
Craig Mazin,Craig Mazin,PER,0.0,0.0,de,2
Mini Cooper,Mini Cooper,PER,0.0,0.0,de,2
John August,John August,PER,0.0,0.0,de,2
Type R,Type R,PER,0.0,0.0,de,2
Josh O’Connor,Josh O’Connor,PER,-0.15000000000000002,0.0,de,2
Trans Mountain,Trans Mountain,PER,-0.5,0.0,de,2
Ian Edwards,Ian Edwards,PER,0.5,0.0,de,2
Cécile McLorin,Cécile McLorin,PER,0.0,0.0,de,2
Kevin McKay,Kevin McKay,PER,0.0,0.0,de,2
Mamata Banerjee,Mamata Banerjee,PER,0.0,0.0,de,2
Cristiano Ronaldo,Cristiano Ronaldo,PER,0.35,0.0,de,2
Joe Biden,Joe Biden,PER,0.0,0.0,de,2
Ferdinand Marcos Jr,Ferdinand Marcos Jr,PER,0.0,0.0,de,2
Drake Passage,Drake Passage,PER,0.7,0.0,de,2
Edwin Castro,Edwin Castro,PER,-0.85,0.0,de,2
Rob Marciano,Rob Marciano,PER,0.0,0.0,de,2
Jim Morrison,Jim Morrison,PER,-0.5,0.0,de,2
Taylor Swift,Taylor Swift,PER,0.0,0.0,de,2
Sean Astin,Sean Astin,PER,0.35,0.0,de,2
Tim Frost,Tim Frost,PER,0.39999999999999997,0.0,de,2
Karen Bass,Karen Bass,PER,0.0,0.0,de,2
Tua Tagovailoa,Tua Tagovailoa,PER,0.0,0.0,de,2
Alec Baldwins,Alec Baldwins,PER,0.0,0.0,de,2
Bob Mould,Bob Mould,PER,0.175,0.0,de,2
Letitia James,Letitia James,PER,0.0,0.0,de,2
Tommy Robinson,Tommy Robinson,PER,-0.5,0.0,de,2
Bremens Umgang,Bremens Umgang,PER,-1.0,0.0,de,2
Gordon Ramsay Burger,Gordon Ramsay Burger,PER,0.0,0.0,de,2
Ruth Deidree Boelan,Ruth Deidree Boelan,PER,-0.7,0.0,de,2
Schnee schippt,Schnee schippt,PER,0.0,0.0,de,2
Kai Trump,Kai Trump,PER,0.35,0.0,de,2
Anna Sui,Anna Sui,PER,-0.35,0.0,de,2
Jamaikas Stromnetz,Jamaikas Stromnetz,PER,0.0,0.0,de,2
Suryakumar Yadav,Suryakumar Yadav,PER,0.0,0.0,de,2
Miley Cyrus,Miley Cyrus,PER,0.15000000000000002,0.0,de,2
Mikie Sherrill,Mikie Sherrill,PER,0.0,0.0,de,2
Markus Steilemann,Markus Steilemann,PER,0.15000000000000002,0.0,de,2
Ayesha Curry,Ayesha Curry,PER,-0.35,0.0,de,2
Montagfrüh Schneeglätte,Montagfrüh Schneeglätte,PER,0.0,0.0,de,2
Laura Anninger,Laura Anninger,PER,0.0,0.5,de,2
Smillas Gespür,Smillas Gespür,PER,0.0,0.0,de,2
Frostiges Paradies,Frostiges Paradies,PER,0.0,0.0,de,2
Sebastian Ströbel,Sebastian Ströbel,PER,0.0,0.0,de,2
Räumung von Straßen,Räumung von Straßen,PER,0.0,0.0,de,2
Markus Söder,Markus Söder,PER,-0.7,0.0,de,2
"Zwischenfazit zu Sturmtief ""Elli","Zwischenfazit zu Sturmtief ""Elli",PER,0.0,0.0,de,2
"Sturm ""Elli","Sturm ""Elli",PER,0.0,0.0,de,2
Glatteis Warnstufe,Glatteis Warnstufe,PER,0.0,0.0,de,2
Singh Sirsa,Singh Sirsa,PER,-0.5,0.0,de,2
Jamaikas Regierungschef,Jamaikas Regierungschef,PER,-0.7,0.0,de,2
Aida Rodriguez,Aida Rodriguez,PER,0.5,0.0,de,2
Thomas Pandola,Thomas Pandola,PER,-0.1625,0.0,de,2
Ilya Solovyov,Ilya Solovyov,PER,0.5,0.0,de,2
Chinas Batteriegiganten,Chinas Batteriegiganten,PER,0.0,0.0,de,2
John Elwes,John Elwes,PER,0.0,0.0,de,2
Tayyip Erdogan,Tayyip Erdogan,PER,0.35,0.0,de,2
Parks Canada,Parks Canada,PER,0.7,0.0,de,2
George Santos,George Santos,PER,0.0,0.0,de,2
Charlotte Walker,Charlotte Walker,PER,0.0,0.0,de,2
Sturmtief „Joshua“,Sturmtief „Joshua“,PER,-0.15000000000000002,0.0,de,2
Angela Kinsey,Angela Kinsey,PER,0.0,0.0,de,2
Justina Machado,Justina Machado,PER,0.5,0.0,de,2
Lukas Gage,Lukas Gage,PER,0.0,0.0,de,2
Chelsea Clinton,Chelsea Clinton,PER,0.0,0.0,de,2
Boyd Varty,Boyd Varty,PER,-0.07500000000000001,0.5,de,2
Catherine Connolly,Catherine Connolly,PER,0.35,0.0,de,2
Österreichs Skigebiete,Österreichs Skigebiete,PER,0.5,0.0,de,2
Marco Schwarz,Marco Schwarz,PER,0.7749999999999999,0.0,de,2
Alexander Schmid,Alexander Schmid,PER,0.35,0.0,de,2
Zaha Hadids,Zaha Hadids,PER,0.0,0.0,de,2
Mike Johnson,Mike Johnson,PER,-0.25,0.0,de,2
turbulentem Jahresstart,turbulentem Jahresstart,PER,0.0,0.0,de,2
Datuk Seri Anwar Ibrahim,Datuk Seri Anwar Ibrahim,PER,-0.5,0.0,de,2
Buffetts Energieversorger,Buffetts Energieversorger,PER,0.0,0.0,de,2
Geological Survey,Geological Survey,PER,0.0,0.0,de,2
Honolulu Star-Advertiser,Honolulu Star-Advertiser,PER,0.0,0.0,de,2
Tarun Chugh,Tarun Chugh,PER,-0.5,0.0,de,2
Shaquille O’Neal,Shaquille O’Neal,PER,0.0,0.0,de,2
Chuck Norris,Chuck Norris,PER,0.5,0.0,de,2
Guillermo del Toro,Guillermo del Toro,PER,0.0,0.5,de,2
Greg Abbott,Greg Abbott,PER,0.0,0.0,de,2
Anya Taylor-Joy,Anya Taylor-Joy,PER,0.5,0.0,de,2
Chris Evans,Chris Evans,PER,0.5,0.0,de,2
Baba Nanak,Baba Nanak,PER,0.0,0.0,de,2
Thomas Markle,Thomas Markle,PER,0.35,0.0,de,2
Jordan Horrillo,Jordan Horrillo,PER,0.0,0.0,de,2
verrottendem Getreide,verrottendem Getreide,PER,0.0,0.0,de,2
Shaun White,Shaun White,PER,0.0,0.0,de,2
Schlafstörende Gehirnzellen,Schlafstörende Gehirnzellen,PER,0.0,0.0,de,1
Madi Keita,Madi Keita,PER,0.0,0.0,de,1
Stevie Chedid,Stevie Chedid,PER,0.0,0.0,de,1
Thomas Jefferson,Thomas Jefferson,PER,1.0,0.0,de,1
Amerikas Gründerväter,Amerikas Gründerväter,PER,0.0,0.0,de,1
Monstersturm „Melissa,Monstersturm „Melissa,PER,0.0,0.0,de,1
Greg No,Greg No,PER,1.0,0.0,de,1
Spike Lees,Spike Lees,PER,1.0,0.0,de,1
Grant Hart,Grant Hart,PER,-0.15000000000000002,0.0,de,1
Greg Norton,Greg Norton,PER,-0.15000000000000002,0.0,de,1
Armando Manguleh,Armando Manguleh,PER,0.0,0.0,de,1
Stevie Chick,Stevie Chick,PER,-0.15000000000000002,0.0,de,1
Monsunregen dieses Jahr,Monsunregen dieses Jahr,PER,0.0,0.0,de,1
Keir Starmer Ankara,Keir Starmer Ankara,PER,0.0,0.0,de,1
Recep Tayyip Erdoğan,Recep Tayyip Erdoğan,PER,0.0,0.0,de,1
Keir Starmer,Keir Starmer,PER,0.7,0.0,de,1
Prince George,Prince George,PER,0.0,0.0,de,1
Nigeria GVO,Nigeria GVO,PER,0.0,0.0,de,1
Langsamer Sturm,Langsamer Sturm,PER,-0.35,0.5,de,1
Junior Ebanks,Junior Ebanks,PER,0.0,0.0,de,1
Bhagwant Mann,Bhagwant Mann,PER,-1.0,0.0,de,1
Hüsker Dü,Hüsker Dü,PER,0.0,0.0,de,1
Alycia Pascual-Peña,Alycia Pascual-Peña,PER,1.0,0.0,de,1
Elvis Nolasco,Elvis Nolasco,PER,1.0,0.0,de,1
Jerry Minor,Jerry Minor,PER,1.0,0.0,de,1
Nicole Gomez Fisher,Nicole Gomez Fisher,PER,1.0,0.0,de,1
Chefmeteorologin Lisa Teachman,Chefmeteorologin Lisa Teachman,PER,0.0,0.0,de,1
Francis Kérés,Francis Kérés,PER,0.0,0.0,de,1
Guru Randhawa,Guru Randhawa,PER,0.0,0.0,de,1
Spike Lee,Spike Lee,PER,0.0,0.0,de,1
Daryll Arro,Daryll Arro,PER,0.0,0.0,de,1
Kéré Architecture,Kéré Architecture,PER,0.7,0.0,de,1
Don Josephus Raphael Eblahans,Don Josephus Raphael Eblahans,PER,0.0,0.0,de,1
John Morales,John Morales,PER,-1.0,0.0,de,1
Hannah Grubbs,Hannah Grubbs,PER,1.0,0.0,de,1
Desmond McKenz,Desmond McKenz,PER,0.0,0.0,de,1
News-Korrespondent Jason Allen,News-Korrespondent Jason Allen,PER,0.0,0.0,de,1
Jamaika hinweggezogen,Jamaika hinweggezogen,PER,0.0,0.0,de,1
Asiens Nostradamus Jay Costura,Asiens Nostradamus Jay Costura,PER,-0.85,0.0,de,1
Fani Maoré,Fani Maoré,PER,0.7,0.0,de,1
Andrew Cuomo,Andrew Cuomo,PER,0.0,0.0,de,1
Rubio Trumps,Rubio Trumps,PER,0.0,0.0,de,1
Kelley Vlahos,Kelley Vlahos,PER,-1.0,0.0,de,1
Jam entfesselte,Jam entfesselte,PER,0.0,0.0,de,1
Matthew Cappucci,Matthew Cappucci,PER,0.0,0.0,de,1
Jamaikas Ministerpräsident,Jamaikas Ministerpräsident,PER,0.0,0.0,de,1
Glencore Plc,Glencore Plc,PER,1.0,0.0,de,1
Mamdanis Gegner,Mamdanis Gegner,PER,0.0,0.0,de,1
Bill Ackman,Bill Ackman,PER,0.0,1.0,de,1
