topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Adaptation,0.039725085910652914,0.3041713928490553,0.04105097365406644,0.11853130250537902,582.0
Causes,0.00607923976608187,0.31020491083647755,0.06630388471177945,0.1592177456558924,950.0
Frühling,0.09960691823899372,0.2610827943931591,0.055817610062893076,0.1203580940154548,53.0
Hazard,-0.002204675928780377,0.308400602688397,0.05026380810800318,0.13894523551352614,6951.0
Herbst,0.06625321927888153,0.31246612351118935,0.06294150110375275,0.14876047051759866,302.0
Impacts,-0.0160005264898357,0.31863133867159255,0.05189403630604288,0.1359058664102887,1824.0
Mitigation,0.02242869047619047,0.32409252355331536,0.03782222222222222,0.11463251697175891,1000.0
Resilience,-0.011111111111111108,0.2010159381924911,0.05555555555555555,0.13608276348795434,6.0
Sommer,-0.0017390046296296296,0.32369537277317123,0.05834573412698413,0.14294029480511514,96.0
Winter,0.04941400662829234,0.2521670176256167,0.05033577533577534,0.12864844356358324,455.0
